Find companies,Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL,Find News Results,Find most recent news,News,Find open jobs,Find Open Jobs,Find Active Job Openings,Job Openings,Find company's competitors,Enrich Company (via Zenrows),Competitors,Enrich Company with Latest Fundraising Data,Get fundraising data for company,Enrich a company's latest funding round,Latest Funding,Enrich Company,Employee Count,Founded,Follower Count,Research company ICP with AI,Send table data
,Luster,"AI Role Play is just the beginning...

Say Hello to Predictive Enablement 
Luster is a first-of-its-kind skill proficiency mapping engine and AI-powered training solution designed to make your entire go-to-market team predictive. Using skill data, calendar intelligence, and proprietary AI, Luster diagnoses your teams skill gaps, predicts where those gaps are about to erode revenue, and prescribes custom enablement resources to ensure that poor performance is a thing of the past.

Gone are the days of realizing a performance gap after a lost deal or bad call. 

With Luster, your customers are no longer collateral damage from a lack of proper training and enablement.",Software Development,11-50 employees,Privately Held,"Indianapolis , Indiana",United States,luster.ai,https://www.linkedin.com/company/luster-ai,,,,,,,,,,,,,,,,,,,,✅ Sent
,Wuru,"Wúru is a data analytics company that offers innovation, productivity and cost efficiency for healthcare providers around the world to ensure that all their management decisions can be made based on evidence.",Hospitals and Health Care,11-50 employees,Privately Held,"Newark, Delaware",United States,wuru.ai,https://www.linkedin.com/company/wuru,,,,,,,,,,,,,,,,,,,,✅ Sent
,Trice,"Trice Imaging is the world’s leading cloud-based medical imaging solution. Our innovative technology has made it easier than ever for medical professionals to instantly and efficiently manage images, collaborate with colleagues, share with patients, and integrate with EHRs from anywhere. 

Trice Imaging, Inc. is a privately owned company at the intersection of wireless technology and cloud image management. Trice mobilizes medical images by sending them from any imaging modality to any mobile device. Physicians receive remote access to images, clips and reports, secure storage and the ability to collaborate with other physicians. Patients receive high-quality medical images that they can print, store, publish and send to family and friends or to doctors for a second opinion. 
Trice Imaging’s patented technology is a value added service to any medical imaging system or diagnostic software and won “Best Mobile Innovation for Health” and “Best Mobile service for women” at the 20th Global Mobile Awards. Trice is available in 56 countries and has patient and clinical users all around the world. Trice has clinical users in 143 countries across 6 continents. Trice is an FDA Class I medical device and ISO 13485:2016 certified. Trice Imaging is HIPAA, GDPR, and MDR compliant.

Trice is headquartered in San Diego, California, and has offices in Stockholm, Sweden. For more information, visit us at www.triceimaging.com. 

Learn more about how our innovative solutions can transform the way you manage medical images by visiting http://www.triceimaging.com or connecting with us at https://www.triceimaging.com/lets-connect.",Medical Equipment Manufacturing,11-50 employees,Privately Held,"Miami, Florida",United States,triceimaging.com,https://www.linkedin.com/company/trice-imaging-inc,,,,,,,,,,,,,,,,,,,,✅ Sent
,IrisAgent,"IrisAgent is a leader in customer support automation with AI-powered answers, tagging, and workflows that boosts agent productivity and automates tickets at scale. Get started with AI Agents for chat, email, and voice in just a few minutes. Experience AI that self-learns and scales with your needs. 

We take simple, repetitive tickets off your support team’s plate, but we’re more than just a chatbot. Unlike other players in this space, we take a 360-degree view of customer support operations, leveraging product and user context to gain meaningful insight into the ‘why’ behind tickets associated with bugs, performance issues, and outages to create support workflows and recommend operational improvements.

Improve customer happiness and supercharge your support operations by booking a demo here - https://www.irisagent.com/get-a-demo","Technology, Information and Internet",11-50 employees,Privately Held,"Mountain View, California",United States,irisagent.com,https://www.linkedin.com/company/irisagent1,,,,,,,,,,,,,,,,,,,,✅ Sent
,Optii,"Optii is a hotel operations technology that optimizes labor, streamlines operations, and empowers teams across housekeeping, service delivery, internal communication, and preventative maintenance. Optii is an MCR portfolio company and is used by hotels and resorts around the world including La Cantera Resort & Spa (Benchmark), The Don Cesar (Host), Okada Manilla Resort & Casino, Le Meridien, Doma Hotels, IHG and more.",Software Development,11-50 employees,Privately Held,"Austin, Texas",United States,optii.com,https://www.linkedin.com/company/optii-solutions,,,,,,,,,,,,,,,,,,,,✅ Sent
,YData,YData helps data science teams to accelerate their AI development with improved data quality,Software Development,11-50 employees,Privately Held,"Seattle, WA",United States,ydata.ai,https://www.linkedin.com/company/ydataai,,,,,,,,,,,,,,,,,,,,✅ Sent
,Inkle,"Inkle is an accounting and tax SaaS platform designed to help U.S. startups manage their compliance from inception. It provides software and services for automating deadline alerts, state and federal filings, and AI-powered bookkeeping. Trusted by over 6% of YC companies globally, Inkle offers on-demand, scalable, and affordable solutions delivered over chat with US-licensed professionals.",Software Development,11-50 employees,Privately Held,"Lewes, Delaware",United States,inkle.ai,https://www.linkedin.com/company/inkle,,,,,,,,,,,,,,,,,,,,✅ Sent
,Claap,"Claap leverages AI to automate post sales meeting tasks — meeting notes, followup emails, CRM enrichment — and uncover insights so revenue leaders understand why they win (or lose) deals.

On average, sales reps save 20+ minutes after each meeting with workflow automations, and revenue leaders increase their win rate up to 30% with deal insights and AI-assisted coaching.

Claap is backed by Headline and LocalGlobe, and works with 300+ clients including companies like Revolut, Qonto, Scoreplay, Teale or Join.

Start for free on www.claap.io",Software Development,11-50 employees,Privately Held,"Work from Anywhere, Remote",United States,claap.io,https://www.linkedin.com/company/claap-io,,,,,,,,,,,,,,,,,,,,✅ Sent
,Akiflow,"At Akiflow we help users to manage their time wisely by offering an all-in-one productivity hub, where you can access and plan all your tasks. 

Focusing on individual productivity, our app uses the time blocking methodology to help professionals make the most out of their time and design a balanced routine.

Our core features are:

- Inbox consolidation. Through smart integrations, you can pull tasks from other productivity and communication tools and create a unified view of all your tasks.
- Time blocking. Drag and drop the tasks to pin them into your calendar and block some time for deep focus.
- Share availability. Let your teammates know what is your plan for the day and what are the free spots on your schedule.

Sign up for a free trial: https://akiflow.com/","Technology, Information and Internet",11-50 employees,Privately Held,Remote,United States,akiflow.com,https://www.linkedin.com/company/akiflow,,,,,,,,,,,,,,,,,,,,✅ Sent
,Metafide,"Metafide is a predictive finance platform that turns skill into reward. We blend human intuition and AI with gameplay and on-chain mechanics so players can compete in real-time and win with precision. Metafide makes financial markets more dynamic, accessible, and engaging, without relying on chance or capital.",Blockchain Services,11-50 employees,Privately Held,"Miami, FL",United States,metafide.io,https://www.linkedin.com/company/metafide,,,,,,,,,,,,,,,,,,,,✅ Sent
,Thesys,C1 by Thesys: The Generative UI API for building engaging AI products.,Software Development,11-50 employees,Privately Held,San Francisco,United States,thesys.dev,https://www.linkedin.com/company/thesysdev,,,,,,,,,,,,,,,,,,,,✅ Sent
,Locale.ai,"Locale.ai is a sales automation platform that uses AI agents to streamline sales processes. What makes us unique is that our AI agents can be trained on YOUR data, perfectly replicating your team's exact workflows.

Our AI agents execute processes like filling custom fields in your CRM, following up with prospects, and using that data to score leads intelligently. 

This saves AEs over 3 hours/day, freeing them from data entry and admin tasks, and allowing them to focus on closing deals faster.

Check us out at https://www.locale.ai/",Software Development,11-50 employees,Privately Held,"Palo Alto, California",United States,locale.ai,https://www.linkedin.com/company/localeai,,,,,,,,,,,,,,,,,,,,✅ Sent
,Muir AI,"Muir AI is an early-stage startup building a talented team passionate about solving the world’s biggest problem: climate change. We aim to make an impact at the gigaton scale – truly changing the course of the world’s climate. 

To do this, we generate the foundational carbon intelligence required for corporations to rapidly measure and reduce scope 3 emissions. Rapid insights lead to real action: mitigate supply chain risk, address highest emitting suppliers, monitor deforestation commitments, invest in high impact renewable projects.","Technology, Information and Internet",11-50 employees,Privately Held,"Seattle, WA",United States,muir.ai,https://www.linkedin.com/company/muir-ai,,,,,,,,,,,,,,,,,,,,✅ Sent
,Lokyata,"AI-Powered Cash Flow Analysis and Loan Decisioning

Increase profit, reduce risk, and enhance borrower satisfaction with Lokyata’s AI-driven decisioning, analytics, and automation platform.",Financial Services,11-50 employees,Privately Held,"Cleveland, OH",United States,lokyata.com,https://www.linkedin.com/company/lokyata,,,,,,,,,,,,,,,,,,,,✅ Sent
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✅ Sent
